0,1,2,3
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.42,0.58,0.4404
0.0,0.0,1.0,0.0
0.0,0.492,0.508,0.4404
0.0,0.0,1.0,0.0
0.0,0.242,0.758,0.4939
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.211,0.109,0.68,-0.363
0.0,0.217,0.783,0.3612
0.588,0.0,0.412,-0.6908
0.244,0.115,0.641,-0.4588
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.095,0.905,0.25
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.446,0.554,0.1548
0.0,0.0,1.0,0.0
0.0,0.492,0.508,0.4404
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.078,0.084,0.838,0.0516
0.035,0.331,0.634,0.9128
0.196,0.0,0.804,-0.296
0.0,0.0,1.0,0.0
0.0,0.492,0.508,0.4404
0.189,0.0,0.811,-0.1027
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.14,0.0,0.86,-0.4767
0.077,0.429,0.495,0.7506
0.0,0.161,0.839,0.3182
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.14,0.0,0.86,-0.2755
0.0,0.0,1.0,0.0
0.0,0.412,0.588,0.6369
0.0,0.0,1.0,0.0
0.0,0.36,0.64,0.7351
0.0,0.247,0.753,0.5574
0.0,0.071,0.929,0.3182
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.129,0.136,0.736,0.0387
0.0,0.107,0.893,0.4767
0.0,0.375,0.625,0.4588
0.0,0.296,0.704,0.6369
0.209,0.0,0.791,-0.4404
0.0,0.123,0.877,0.4497
0.0,0.429,0.571,0.7184
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.313,0.687,0.6249
0.0,0.0,1.0,0.0
0.0,0.492,0.508,0.4404
0.0,0.0,1.0,0.0
0.12,0.0,0.88,-0.3818
0.185,0.0,0.815,-0.3612
0.0,0.0,1.0,0.0
0.322,0.0,0.678,-0.5859
0.0,0.145,0.855,0.6249
0.306,0.0,0.694,-0.296
0.0,0.583,0.417,0.6369
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.512,0.0,0.488,-0.2732
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.223,0.777,0.3182
0.0,0.744,0.256,0.4404
0.0,0.492,0.508,0.4404
0.0,0.651,0.349,0.6808
0.0,0.0,1.0,0.0
